sequence_id,sp,scaffold_base,propeptide,nglyc,protein_length,raw_pll_mean,pseudo_pLDDT
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_ablated,279,-0.1292,89.17
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_native,279,-0.1292,89.17
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_ablated,281,-0.1288,89.18
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_native,281,-0.1288,89.18
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_pts1ok,none,nglyc_ablated,270,-0.1089,89.75
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,glaA_KRGGG_pts1ok,none,nglyc_native,270,-0.1089,89.75
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_ablated,276,-0.1234,89.33
sp_SPamyB__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_native,276,-0.1234,89.33
sp_SPamyB__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KR_3xAla,long_kex2_pro,nglyc_ablated,284,-0.1348,89.01
sp_SPamyB__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KR_3xAla,long_kex2_pro,nglyc_native,284,-0.1348,89.01
sp_SPamyB__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_KR_3xAla,none,nglyc_ablated,273,-0.1148,89.58
sp_SPamyB__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_native,SPamyB,glaA_KR_3xAla,none,nglyc_native,273,-0.1148,89.58
sp_SPamyB__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KR_3xAla,short_kex2_pro,nglyc_ablated,279,-0.1292,89.17
sp_SPamyB__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KR_3xAla,short_kex2_pro,nglyc_native,279,-0.1292,89.17
sp_SPamyB__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KR_pts1ok,long_kex2_pro,nglyc_ablated,281,-0.1288,89.18
sp_SPamyB__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KR_pts1ok,long_kex2_pro,nglyc_native,281,-0.1288,89.18
sp_SPamyB__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_KR_pts1ok,none,nglyc_ablated,270,-0.1089,89.75
sp_SPamyB__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,glaA_KR_pts1ok,none,nglyc_native,270,-0.1089,89.75
sp_SPamyB__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KR_pts1ok,short_kex2_pro,nglyc_ablated,276,-0.1234,89.33
sp_SPamyB__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KR_pts1ok,short_kex2_pro,nglyc_native,276,-0.1234,89.33
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_ablated,284,-0.1348,89.01
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_native,284,-0.1348,89.01
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_3xAla,none,nglyc_ablated,273,-0.1148,89.58
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_3xAla,none,nglyc_native,273,-0.1148,89.58
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_ablated,279,-0.1292,89.17
sp_SPamyB__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_native,279,-0.1292,89.17
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_ablated,281,-0.1288,89.18
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_native,281,-0.1288,89.18
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_pts1ok,none,nglyc_ablated,270,-0.1089,89.75
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_pts1ok,none,nglyc_native,270,-0.1089,89.75
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,276,-0.1234,89.33
sp_SPamyB__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,276,-0.1234,89.33
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_ablated,281,-0.1288,89.18
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_native,281,-0.1288,89.18
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,tandem_KEX2_pts1ok,none,nglyc_ablated,270,-0.1089,89.75
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,tandem_KEX2_pts1ok,none,nglyc_native,270,-0.1089,89.75
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_ablated,276,-0.1234,89.33
sp_SPamyB__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_native,276,-0.1234,89.33
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_3xAla_pts1blk,long_kex2_pro,nglyc_ablated,290,-0.1364,88.96
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_3xAla_pts1blk,long_kex2_pro,nglyc_native,290,-0.1364,88.96
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_ablated,SPamyB_pro,direct_3xAla_pts1blk,none,nglyc_ablated,279,-0.1178,89.49
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_native,SPamyB_pro,direct_3xAla_pts1blk,none,nglyc_native,279,-0.1178,89.49
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,285,-0.1272,89.22
sp_SPamyB_pro__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,285,-0.1272,89.22
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_his6_pts1ok,long_kex2_pro,nglyc_ablated,293,-0.1291,89.17
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_his6_pts1ok,long_kex2_pro,nglyc_native,293,-0.1291,89.17
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,direct_his6_pts1ok,none,nglyc_ablated,282,-0.1099,89.72
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,direct_his6_pts1ok,none,nglyc_native,282,-0.1099,89.72
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,288,-0.1197,89.44
sp_SPamyB_pro__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_his6_pts1ok,short_kex2_pro,nglyc_native,288,-0.1197,89.44
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_natag_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1308,89.12
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_natag_pts1ok,long_kex2_pro,nglyc_native,287,-0.1308,89.12
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,direct_natag_pts1ok,none,nglyc_ablated,276,-0.1125,89.64
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,direct_natag_pts1ok,none,nglyc_native,276,-0.1125,89.64
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1218,89.38
sp_SPamyB_pro__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,direct_natag_pts1ok,short_kex2_pro,nglyc_native,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_ablated,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_native,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_3xAla,none,nglyc_ablated,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_3xAla,none,nglyc_native,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_ablated,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_native,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_native,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_pts1ok,none,nglyc_ablated,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_pts1ok,none,nglyc_native,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_native,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_3xAla,long_kex2_pro,nglyc_ablated,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KR_3xAla,long_kex2_pro,nglyc_native,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_3xAla,none,nglyc_ablated,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_KR_3xAla,none,nglyc_native,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_3xAla,short_kex2_pro,nglyc_ablated,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KR_3xAla,short_kex2_pro,nglyc_native,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KR_pts1ok,long_kex2_pro,nglyc_native,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_pts1ok,none,nglyc_ablated,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_KR_pts1ok,none,nglyc_native,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_KR_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_KR_pts1ok,short_kex2_pro,nglyc_native,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_ablated,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_native,290,-0.1364,88.96
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_3xAla,none,nglyc_ablated,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_3xAla,none,nglyc_native,279,-0.1178,89.49
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_ablated,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_native,285,-0.1272,89.22
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_native,287,-0.1308,89.12
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_pts1ok,none,nglyc_ablated,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_pts1ok,none,nglyc_native,276,-0.1125,89.64
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1218,89.38
sp_SPamyB_pro__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,282,-0.1218,89.38
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1308,89.12
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB_pro,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_native,287,-0.1308,89.12
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB_pro,tandem_KEX2_pts1ok,none,nglyc_ablated,276,-0.1125,89.64
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_native,SPamyB_pro,tandem_KEX2_pts1ok,none,nglyc_native,276,-0.1125,89.64
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB_pro,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1218,89.38
sp_SPamyB_pro__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB_pro,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_native,282,-0.1218,89.38
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_3xAla_pts1blk,long_kex2_pro,nglyc_ablated,282,-0.1617,88.24
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_3xAla_pts1blk,long_kex2_pro,nglyc_native,282,-0.1617,88.24
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_ablated,SPcbhI,direct_3xAla_pts1blk,none,nglyc_ablated,271,-0.1286,89.18
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_native,SPcbhI,direct_3xAla_pts1blk,none,nglyc_native,271,-0.1286,89.18
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,277,-0.1513,88.54
sp_SPcbhI__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,277,-0.1513,88.54
sp_SPcbhI__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_his6_pts1ok,long_kex2_pro,nglyc_ablated,285,-0.1540,88.46
sp_SPcbhI__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_his6_pts1ok,long_kex2_pro,nglyc_native,285,-0.1540,88.46
sp_SPcbhI__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_ablated,SPcbhI,direct_his6_pts1ok,none,nglyc_ablated,274,-0.1214,89.39
sp_SPcbhI__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_native,SPcbhI,direct_his6_pts1ok,none,nglyc_native,274,-0.1214,89.39
sp_SPcbhI__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,280,-0.1431,88.77
sp_SPcbhI__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_his6_pts1ok,short_kex2_pro,nglyc_native,280,-0.1431,88.77
sp_SPcbhI__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_natag_pts1ok,long_kex2_pro,nglyc_ablated,279,-0.1563,88.39
sp_SPcbhI__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_natag_pts1ok,long_kex2_pro,nglyc_native,279,-0.1563,88.39
sp_SPcbhI__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_ablated,SPcbhI,direct_natag_pts1ok,none,nglyc_ablated,268,-0.1228,89.35
sp_SPcbhI__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_native,SPcbhI,direct_natag_pts1ok,none,nglyc_native,268,-0.1228,89.35
sp_SPcbhI__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,274,-0.1459,88.69
sp_SPcbhI__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,direct_natag_pts1ok,short_kex2_pro,nglyc_native,274,-0.1459,88.69
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_ablated,282,-0.1617,88.24
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_native,282,-0.1617,88.24
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_3xAla,none,nglyc_ablated,271,-0.1286,89.18
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_3xAla,none,nglyc_native,271,-0.1286,89.18
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_ablated,277,-0.1513,88.54
sp_SPcbhI__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_native,277,-0.1513,88.54
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_ablated,279,-0.1563,88.39
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_native,279,-0.1563,88.39
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_pts1ok,none,nglyc_ablated,268,-0.1228,89.35
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_pts1ok,none,nglyc_native,268,-0.1228,89.35
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_ablated,274,-0.1459,88.69
sp_SPcbhI__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_native,274,-0.1459,88.69
sp_SPcbhI__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KR_3xAla,long_kex2_pro,nglyc_ablated,282,-0.1617,88.24
sp_SPcbhI__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KR_3xAla,long_kex2_pro,nglyc_native,282,-0.1617,88.24
sp_SPcbhI__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPcbhI,glaA_KR_3xAla,none,nglyc_ablated,271,-0.1286,89.18
sp_SPcbhI__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_native,SPcbhI,glaA_KR_3xAla,none,nglyc_native,271,-0.1286,89.18
sp_SPcbhI__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KR_3xAla,short_kex2_pro,nglyc_ablated,277,-0.1513,88.54
sp_SPcbhI__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KR_3xAla,short_kex2_pro,nglyc_native,277,-0.1513,88.54
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KR_pts1ok,long_kex2_pro,nglyc_ablated,279,-0.1563,88.39
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KR_pts1ok,long_kex2_pro,nglyc_native,279,-0.1563,88.39
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPcbhI,glaA_KR_pts1ok,none,nglyc_ablated,268,-0.1228,89.35
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_native,SPcbhI,glaA_KR_pts1ok,none,nglyc_native,268,-0.1228,89.35
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_KR_pts1ok,short_kex2_pro,nglyc_ablated,274,-0.1459,88.69
sp_SPcbhI__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPcbhI,glaA_KR_pts1ok,short_kex2_pro,nglyc_native,274,-0.1459,88.69
sp_SPcbhI__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPcbhI,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_ablated,282,-0.1617,88.24
